"   MODEL_2"

"Time      "	"gear_MEA_1"
0.000000e+00	4.549072e+04
1.000000e-02	4.644347e+04
2.000000e-02	4.748471e+04
3.000000e-02	4.860586e+04
4.000000e-02	4.979753e+04
5.000000e-02	5.104964e+04
6.000000e-02	5.235149e+04
7.000000e-02	5.369188e+04
8.000000e-02	5.505927e+04
9.000000e-02	5.644191e+04
1.000000e-01	5.782791e+04
1.100000e-01	5.920545e+04
1.200000e-01	6.056288e+04
1.300000e-01	6.188884e+04
1.400000e-01	6.317241e+04
1.500000e-01	6.440321e+04
1.600000e-01	6.557154e+04
1.700000e-01	6.666843e+04
1.800000e-01	6.768580e+04
1.900000e-01	6.861651e+04
2.000000e-01	6.945441e+04
2.100000e-01	7.019444e+04
2.200000e-01	7.083265e+04
2.300000e-01	7.136625e+04
2.400000e-01	7.179359e+04
2.500000e-01	7.211422e+04
2.600000e-01	7.232886e+04
2.700000e-01	7.243933e+04
2.800000e-01	7.244862e+04
2.900000e-01	7.236075e+04
3.000000e-01	7.218076e+04
3.100000e-01	7.191463e+04
3.200000e-01	7.156920e+04
3.300000e-01	7.115209e+04
3.400000e-01	7.067160e+04
3.500000e-01	7.013658e+04
3.600000e-01	6.955638e+04
3.700000e-01	6.894066e+04
3.800000e-01	6.829933e+04
3.900000e-01	6.764236e+04
4.000000e-01	6.697974e+04
4.100000e-01	6.632127e+04
4.200000e-01	6.567648e+04
4.300000e-01	6.505450e+04
4.400000e-01	6.446396e+04
4.500000e-01	6.391282e+04
4.600000e-01	6.340835e+04
4.700000e-01	6.295696e+04
4.800000e-01	6.256418e+04
4.900000e-01	6.223452e+04
5.000000e-01	6.197149e+04
5.100000e-01	6.177751e+04
5.200000e-01	6.165386e+04
5.300000e-01	6.160072e+04
5.400000e-01	6.161716e+04
5.500000e-01	6.170113e+04
5.600000e-01	6.184950e+04
5.700000e-01	6.205815e+04
5.800000e-01	6.232198e+04
5.900000e-01	6.263503e+04
6.000000e-01	6.299055e+04
6.100000e-01	6.338110e+04
6.200000e-01	6.379865e+04
6.300000e-01	6.423474e+04
6.400000e-01	6.468058e+04
6.500000e-01	6.512715e+04
6.600000e-01	6.556538e+04
6.700000e-01	6.598626e+04
6.800000e-01	6.638099e+04
6.900000e-01	6.674107e+04
7.000000e-01	6.705847e+04
7.100000e-01	6.732571e+04
7.200000e-01	6.753600e+04
7.300000e-01	6.768333e+04
7.400000e-01	6.776254e+04
7.500000e-01	6.776945e+04
7.600000e-01	6.770087e+04
7.700000e-01	6.755469e+04
7.800000e-01	6.732989e+04
7.900000e-01	6.702661e+04
8.000000e-01	6.664611e+04
8.100000e-01	6.619078e+04
8.200000e-01	6.566414e+04
8.300000e-01	6.507078e+04
8.400000e-01	6.441633e+04
8.500000e-01	6.370736e+04
8.600000e-01	6.295135e+04
8.670000e-01	6.239854e+04


