"   MODEL_2"

"Time      "	½Ç¶È	Íâ¹Ç÷ÀÅ¤¾Ø	ÈËµÄÅ¤¾Ø
0	1.42100000000000	-16516.2400000000	-16.9065000000000
0.100000000000000	2.00300000000000	-17083.9800000000	-35.3600000000000
0.200000000000000	2.82400000000000	-18068.0200000000	-19.1165000000000
0.300000000000000	3.84800000000000	-19105.9200000000	2.09950000000000
0.400000000000000	4.96700000000000	-19850.5600000000	20.7740000000000
0.500000000000000	5.99600000000000	-20235.5100000000	33.0395000000000
0.600000000000000	6.76400000000000	-20454.1500000000	41.8795000000000
0.700000000000000	7.18900000000000	-20701.8200000000	50.0565000000000
0.800000000000000	7.27600000000000	-20981.2000000000	55.9130000000000
0.900000000000000	7.09500000000000	-21143.7000000000	57.2390000000000
1	6.73100000000000	-21062.9700000000	54.3660000000000
1.10000000000000	6.24700000000000	-20751.3700000000	50.3880000000000
1.20000000000000	5.68800000000000	-20336.7200000000	46.4100000000000
1.30000000000000	5.09300000000000	-19948.7500000000	42.5425000000000
1.40000000000000	4.50800000000000	-19634.8300000000	40.8850000000000
1.50000000000000	3.96200000000000	-19374.9000000000	40.4430000000000
1.60000000000000	3.48600000000000	-19148.0500000000	41.8795000000000
1.70000000000000	3.09600000000000	-18966.7500000000	43.2055000000000
1.80000000000000	2.79800000000000	-18856.7000000000	45.5260000000000
1.90000000000000	2.58800000000000	-18816.6400000000	48.7305000000000
2	2.44600000000000	-18804.4200000000	52.4875000000000
2.10000000000000	2.34400000000000	-18774.3500000000	56.0235000000000
2.20000000000000	2.22400000000000	-18736.6100000000	59.6700000000000
2.30000000000000	2.04000000000000	-18768.2800000000	61.3275000000000
2.40000000000000	1.74800000000000	-18935.0700000000	61.4380000000000
2.50000000000000	1.31000000000000	-10741.2800000000	58.4545000000000
2.60000000000000	0.682000000000000	-10878.6400000000	48.7305000000000
2.70000000000000	-0.189000000000000	-11292.5100000000	30.1665000000000
2.80000000000000	-1.32000000000000	-11989.1500000000	9.83450000000000
2.90000000000000	-2.63700000000000	-12809.0800000000	-0.221000000000000
3	-3.99100000000000	-13520.9200000000	-3.97800000000000
3.10000000000000	-5.17500000000000	-13994.3000000000	-5.96700000000000
3.20000000000000	-5.99300000000000	-14273.2000000000	-6.63000000000000
3.30000000000000	-6.33400000000000	-14475.9400000000	-5.52500000000000
3.40000000000000	-6.18600000000000	-14644.1000000000	-4.08850000000000
3.50000000000000	-5.65200000000000	-14709.1200000000	-3.31500000000000
3.60000000000000	-4.88000000000000	-14588.1800000000	-3.31500000000000
3.70000000000000	-4.01900000000000	-14281.1400000000	-3.20450000000000
3.80000000000000	-3.16700000000000	-13878.2500000000	-3.09400000000000
3.90000000000000	-2.38400000000000	-13497.2100000000	-2.76250000000000
4	-1.70100000000000	-13212.8200000000	-2.65200000000000
4.10000000000000	-1.12100000000000	-13025.6700000000	-2.87300000000000
4.20000000000000	-0.654000000000000	-12882.6600000000	-3.42550000000000
4.30000000000000	-0.288000000000000	-12727.5500000000	-4.42000000000000
4.40000000000000	-0.0150000000000000	-12541.8900000000	-5.52500000000000
4.50000000000000	0.171000000000000	-12351.6800000000	-7.07200000000000
4.60000000000000	0.287000000000000	-12206.3500000000	-9.17150000000000
4.70000000000000	0.368000000000000	-12150.8000000000	-10.6080000000000
4.80000000000000	0.463000000000000	-12205.2600000000	-10.9395000000000
4.90000000000000	0.643000000000000	-12356.0300000000	-9.72400000000000
5	0.984000000000000	-12552.3500000000	-7.62450000000000


