Trace Name,Y1,Y2,Y1 - Y2,Y1(Cursor1) - Y2(Cursor2),,1.0901,,
X Values,709.592m,500.000m,209.592m,Y1 - Y1(Cursor1),Y2 - Y2(Cursor2),Max Y,Min Y,Avg Y
YatX(V(VCC), 9m),6.5453,5.4552,1.0901,0.000,0.000,6.5453,5.4552,6.0003
